#Solução sedimentação esfera - Runge Kutta 4 ordem 
#t    vRK4    vExato    erTrue[%] 
2.4 0.99177 0.99177 5.40002e-09
2.41 0.991933 0.991933 5.31427e-09
2.42 0.992093 0.992093 5.22981e-09
2.43 0.99225 0.99225 5.14661e-09
2.44 0.992403 0.992403 5.06468e-09
2.45 0.992553 0.992553 4.98398e-09
2.46 0.992701 0.992701 4.9045e-09
2.47 0.992845 0.992845 4.82623e-09
2.48 0.992987 0.992987 4.74913e-09
2.49 0.993126 0.993126 4.67321e-09
2.5 0.993262 0.993262 4.59844e-09
2.51 0.993395 0.993395 4.52481e-09
2.52 0.993526 0.993526 4.4523e-09
2.53 0.993654 0.993654 4.38088e-09
2.54 0.99378 0.99378 4.31056e-09
2.55 0.993903 0.993903 4.24132e-09
2.56 0.994024 0.994024 4.17313e-09
2.57 0.994142 0.994142 4.10599e-09
2.58 0.994258 0.994258 4.03987e-09
2.59 0.994372 0.994372 3.97476e-09
2.6 0.994483 0.994483 3.91066e-09
2.61 0.994593 0.994593 3.84754e-09
2.62 0.9947 0.9947 3.7854e-09
2.63 0.994805 0.994805 3.72422e-09
2.64 0.994908 0.994908 3.66398e-09
2.65 0.995008 0.995008 3.60467e-09
2.66 0.995107 0.995107 3.54627e-09
2.67 0.995204 0.995204 3.48878e-09
2.68 0.995299 0.995299 3.43217e-09
2.69 0.995392 0.995392 3.37645e-09
2.7 0.995483 0.995483 3.32159e-09
2.71 0.995573 0.995573 3.26759e-09
2.72 0.995661 0.995661 3.21442e-09
2.73 0.995746 0.995746 3.16208e-09
2.74 0.995831 0.995831 3.11056e-09
2.75 0.995913 0.995913 3.05983e-09
2.76 0.995994 0.995994 3.0099e-09
2.77 0.996073 0.996073 2.96077e-09
2.78 0.996151 0.996151 2.9124e-09
2.79 0.996227 0.996227 2.86477e-09
2.8 0.996302 0.996302 2.8179e-09
2.81 0.996375 0.996375 2.77176e-09
2.82 0.996447 0.996447 2.72635e-09
2.83 0.996517 0.996517 2.68165e-09
2.84 0.996586 0.996586 2.63766e-09
2.85 0.996654 0.996654 2.59436e-09
2.86 0.99672 0.99672 2.55173e-09
2.87 0.996785 0.996785 2.50979e-09
2.88 0.996849 0.996849 2.46851e-09
2.89 0.996911 0.996911 2.42787e-09
2.9 0.996972 0.996972 2.38788e-09
2.91 0.997032 0.997032 2.34854e-09
2.92 0.997091 0.997091 2.30981e-09
2.93 0.997149 0.997149 2.2717e-09
2.94 0.997205 0.997205 2.23418e-09
2.95 0.997261 0.997261 2.19728e-09
2.96 0.997315 0.997315 2.16095e-09
2.97 0.997368 0.997368 2.1252e-09
